N,P,K,temperature,humidity,ph,rainfall,soil_type,previous_crop,season,water_availability,irrigation,region,previous_yield,disease_level,fertilizer_usage,recommended_crop
41,90,55,24.1,50,7.3,426,Alluvial,Cotton,Rabi,Low,Drip,West India,2.4,Medium,Low,Chilli
66,86,43,23.2,65,6.6,356,Black,Rice,Zaid,Medium,Rainfed,North-East India,2.7,Low,Low,Sunflower
31,59,35,27.2,68,6.1,481,Clay,Sorghum,Kharif,Medium,Drip,South India,2.0,Medium,Medium,Black Gram
65,58,55,32.4,59,7.4,584,Clay,Cowpea,Zaid,Low,Rainfed,North-East India,2.4,High,Medium,Sesame
33,78,28,29.0,51,6.1,652,Loamy,Black Gram,Zaid,High,Canal,East India,4.6,Low,Medium,Groundnut
63,61,85,24.6,62,7.2,432,Black,Cowpea,Zaid,Medium,Sprinkler,West India,3.4,Low,High,Chilli
37,89,29,28.3,69,6.1,484,Clay,Sorghum,Zaid,Low,Drip,North-East India,6.6,Low,Low,Groundnut
64,66,56,32.3,65,5.9,501,Black,Sugarcane,Kharif,High,Drip,North-East India,4.2,Low,Low,Sesame
41,67,57,29.5,56,6.4,424,Sandy,Cowpea,Zaid,Medium,Drip,West India,5.0,Medium,Medium,Sesame
53,46,68,23.0,46,6.8,375,Red,Rice,Rabi,Medium,Drip,Central India,4.6,Medium,Low,Onion
66,52,52,27.0,40,6.9,537,Red,Cotton,Rabi,High,Rainfed,North India,4.7,Low,High,Sorghum
65,54,46,32.4,56,6.6,353,Sandy,Wheat,Kharif,Medium,Rainfed,North-East India,6.6,Medium,Medium,Sesame
68,54,56,27.1,59,6.6,560,Sandy,Cowpea,Zaid,High,Drip,East India,3.6,Medium,Medium,Sunflower
35,63,24,32.7,74,6.1,722,Loamy,Sugarcane,Kharif,Medium,Canal,North-East India,3.0,Medium,High,Black Gram
67,80,67,24.5,43,7.2,417,Alluvial,Black Gram,Zaid,Low,Canal,East India,3.1,High,Low,Chilli
49,56,77,24.8,59,6.9,699,Red,Sunflower,Zaid,High,Sprinkler,West India,2.5,High,Medium,Tomato
88,67,75,28.8,87,6.6,951,Red,Onion,Rabi,Low,Canal,West India,4.3,Medium,Medium,Sugarcane
45,53,59,23.1,50,6.2,520,Red,Sugarcane,Rabi,High,Rainfed,North India,1.9,High,High,Onion
82,42,45,27.7,73,5.7,1233,Loamy,Brinjal,Kharif,Low,Canal,North-East India,6.5,Low,Low,Rice
36,63,23,29.2,64,6.9,651,Red,Onion,Kharif,High,Canal,North-East India,4.0,Medium,High,Black Gram
27,45,28,30.7,62,6.1,575,Clay,Cotton,Zaid,Low,Drip,South India,3.2,Low,Low,Cowpea
84,45,80,29.7,63,6.7,1411,Red,Black Gram,Rabi,Medium,Canal,North India,1.1,Medium,Medium,Sugarcane
56,65,38,29.9,53,5.9,639,Black,Cotton,Kharif,High,Drip,North India,1.6,High,Low,Sesame
56,49,42,31.3,66,6.7,634,Black,Wheat,Kharif,High,Drip,East India,7.5,Low,Medium,Sesame
56,38,51,28.1,60,6.1,593,Sandy,Green Gram,Kharif,Medium,Rainfed,North-East India,6.2,Low,Low,Sesame
20,48,29,23.6,40,6.7,347,Clay,Chilli,Rabi,Low,Rainfed,North-East India,3.4,Low,High,Chickpea
29,65,40,29.3,49,7.3,581,Loamy,Chickpea,Kharif,High,Rainfed,Central India,3.5,Low,Low,Groundnut
48,52,65,28.3,56,6.6,488,Sandy,Groundnut,Rabi,Low,Canal,South India,2.1,Medium,Medium,Chilli
63,65,72,28.6,90,6.4,1168,Clay,Brinjal,Kharif,Low,Canal,South India,2.0,Low,Low,Sugarcane
53,61,86,31.0,61,6.0,1445,Clay,Brinjal,Kharif,Medium,Rainfed,South India,6.7,Low,Medium,Sugarcane
52,40,50,29.1,70,6.8,635,Loamy,Brinjal,Kharif,Low,Drip,North-East India,1.5,High,High,Sesame
64,65,58,22.4,53,6.1,376,Alluvial,Sugarcane,Rabi,Medium,Drip,North-East India,3.8,High,High,Onion
29,41,23,30.1,51,7.0,366,Clay,Sesame,Kharif,Medium,Rainfed,Central India,0.7,High,High,Green Gram
44,85,88,23.9,42,6.1,594,Sandy,Cowpea,Rabi,Low,Rainfed,West India,2.5,Medium,Medium,Tomato
49,51,49,31.0,40,5.7,559,Clay,Cowpea,Kharif,Medium,Canal,North-East India,5.4,Low,High,Sorghum
21,82,24,28.6,65,5.7,685,Loamy,Sugarcane,Kharif,High,Rainfed,West India,1.5,Low,Low,Groundnut
81,39,57,28.5,84,7.0,1444,Clay,Black Gram,Kharif,High,Canal,West India,3.9,Medium,High,Sugarcane
38,63,40,29.4,67,5.9,640,Alluvial,Black Gram,Kharif,Medium,Rainfed,North-East India,1.9,High,Medium,Sesame
23,63,37,29.0,45,6.6,641,Loamy,Rice,Kharif,High,Rainfed,North-East India,2.5,Medium,Low,Groundnut
28,40,21,27.3,71,6.8,410,Black,Cotton,Kharif,High,Drip,North India,3.9,Low,Low,Green Gram
43,85,73,26.6,56,6.3,637,Clay,Sesame,Zaid,High,Rainfed,North-East India,5.5,Low,Medium,Tomato
50,48,65,27.3,51,6.4,380,Red,Sugarcane,Kharif,High,Canal,Central India,1.2,Low,High,Sorghum
19,39,33,28.3,48,7.5,553,Black,Onion,Kharif,High,Drip,South India,2.9,Medium,Medium,Cowpea
40,48,55,28.9,54,6.0,385,Loamy,Sorghum,Kharif,Medium,Rainfed,Central India,3.2,Medium,High,Sesame
37,87,61,25.1,47,6.7,593,Black,Cotton,Kharif,High,Canal,Central India,5.5,Low,Medium,Chilli
19,51,21,30.4,67,7.0,452,Sandy,Sesame,Kharif,Low,Rainfed,Central India,5.3,Medium,Medium,Green Gram
27,50,20,32.7,58,5.6,446,Red,Rice,Kharif,Low,Drip,North-East India,4.7,Low,Low,Cowpea
59,68,57,21.4,61,6.2,501,Clay,Green Gram,Rabi,High,Sprinkler,North India,3.6,Medium,High,Tomato
21,58,41,19.8,53,7.8,506,Sandy,Chilli,Rabi,Low,Rainfed,Central India,2.7,High,Medium,Chickpea
39,42,30,30.1,54,6.1,692,Sandy,Brinjal,Kharif,High,Rainfed,West India,1.2,Low,Low,Black Gram
91,53,55,31.7,82,6.1,1173,Clay,Cotton,Kharif,Medium,Rainfed,North-East India,4.3,Low,Low,Rice
42,64,45,25.7,63,5.9,685,Alluvial,Cotton,Rabi,Medium,Sprinkler,North India,2.8,Medium,High,Brinjal
62,44,51,26.3,70,6.5,760,Red,Maize,Rabi,High,Rainfed,South India,2.3,Medium,Medium,Brinjal
21,43,35,18.5,44,6.5,392,Red,Chilli,Rabi,High,Rainfed,North-East India,4.1,High,Medium,Chickpea
87,68,57,29.3,62,6.5,1493,Red,Chickpea,Kharif,Medium,Rainfed,North-East India,1.8,Medium,High,Sugarcane
74,52,75,17.9,65,7.2,664,Red,Black Gram,Rabi,High,Drip,North-East India,4.5,High,Low,Wheat
27,68,28,28.0,67,5.9,682,Black,Onion,Kharif,Low,Rainfed,West India,7.9,Low,High,Cowpea
76,65,55,29.1,79,7.0,1049,Clay,Black Gram,Rabi,Medium,Rainfed,North-East India,1.3,Medium,Medium,Sugarcane
58,64,73,31.8,62,6.9,1020,Loamy,Black Gram,Rabi,Low,Canal,South India,1.3,High,Medium,Sugarcane
53,81,84,32.7,65,7.2,632,Alluvial,Cowpea,Kharif,Low,Rainfed,East India,6.5,Low,High,Cotton
35,56,67,18.6,54,7.3,507,Clay,Rice,Rabi,High,Rainfed,South India,2.3,Medium,Low,Onion
36,53,72,24.0,45,7.1,678,Sandy,Rice,Zaid,High,Drip,Central India,2.5,Low,Medium,Chilli
59,65,66,25.5,62,7.3,610,Loamy,Green Gram,Rabi,High,Rainfed,North India,4.3,High,Low,Chilli
80,47,85,31.6,83,6.7,955,Loamy,Black Gram,Rabi,Low,Rainfed,North-East India,4.7,Medium,Medium,Sugarcane
62,70,84,27.2,69,6.8,681,Sandy,Sunflower,Kharif,Low,Drip,South India,1.9,Low,Low,Cotton
60,52,55,27.1,72,6.2,1209,Sandy,Cotton,Kharif,Medium,Canal,North-East India,4.4,High,Low,Rice
90,76,54,28.2,60,7.3,709,Alluvial,Rice,Kharif,Low,Drip,North-East India,3.5,High,Medium,Cotton
39,41,24,30.6,58,6.8,425,Sandy,Brinjal,Kharif,Medium,Drip,West India,1.2,High,High,Cowpea
59,43,75,23.2,50,6.5,390,Alluvial,Rice,Rabi,Low,Canal,Central India,6.7,Low,Medium,Onion
30,47,31,31.7,55,5.7,641,Loamy,Cotton,Zaid,High,Rainfed,North India,3.4,Medium,Low,Cowpea
58,40,62,27.7,57,5.7,497,Alluvial,Cotton,Kharif,Medium,Canal,Central India,1.2,Medium,Medium,Sorghum
35,73,18,31.1,59,5.8,667,Clay,Sugarcane,Kharif,High,Canal,West India,4.7,Medium,High,Groundnut
67,65,62,27.3,53,7.9,646,Clay,Brinjal,Kharif,High,Rainfed,Central India,6.0,Low,Medium,Sorghum
20,63,25,28.2,54,5.6,451,Red,Sorghum,Kharif,Medium,Drip,Central India,4.3,Low,Medium,Cowpea
27,47,29,28.2,74,7.3,518,Sandy,Onion,Kharif,Medium,Canal,South India,4.5,Low,Low,Green Gram
59,88,59,21.7,64,6.4,609,Loamy,Chickpea,Zaid,High,Drip,North-East India,6.0,Medium,Medium,Tomato
67,44,68,32.3,48,5.5,520,Black,Maize,Zaid,High,Drip,West India,3.1,High,High,Sesame
62,60,56,20.1,45,6.2,386,Sandy,Rice,Rabi,Low,Rainfed,North India,2.1,High,High,Onion
54,46,61,19.8,42,7.1,477,Sandy,Tomato,Rabi,Medium,Sprinkler,West India,5.5,High,High,Wheat
40,45,37,29.1,52,6.0,558,Black,Sugarcane,Rabi,Low,Rainfed,South India,5.4,Low,Low,Sorghum
51,59,59,28.9,53,5.9,404,Clay,Chickpea,Zaid,Medium,Rainfed,East India,7.9,Low,High,Sesame
86,51,65,29.0,70,7.0,1430,Red,Sorghum,Rabi,Medium,Canal,South India,7.4,Low,Medium,Sugarcane
35,73,28,30.7,60,6.9,695,Loamy,Chilli,Zaid,High,Canal,North-East India,2.4,High,Low,Groundnut
36,67,43,31.4,64,6.0,372,Clay,Chickpea,Kharif,Medium,Canal,East India,7.4,Low,Medium,Sorghum
60,41,46,31.6,61,5.6,1036,Alluvial,Cowpea,Kharif,Medium,Rainfed,East India,6.2,Low,Medium,Rice
37,49,22,27.7,60,6.2,662,Red,Cotton,Kharif,High,Drip,Central India,5.1,Low,Medium,Black Gram
62,54,47,29.6,47,8.0,610,Loamy,Onion,Rabi,High,Rainfed,North India,5.3,Low,High,Sorghum
31,55,23,32.1,67,7.4,497,Red,Brinjal,Zaid,Low,Drip,North-East India,2.3,Medium,Medium,Green Gram
58,65,53,24.6,75,6.1,705,Clay,Onion,Rabi,Medium,Rainfed,East India,2.9,Medium,Low,Maize
64,41,75,17.7,43,6.1,409,Black,Onion,Rabi,Medium,Canal,West India,1.3,Low,Medium,Wheat
84,42,41,31.0,67,6.9,1388,Sandy,Sesame,Kharif,High,Rainfed,West India,4.8,Medium,Medium,Rice
68,54,57,26.4,62,6.9,691,Alluvial,Cowpea,Rabi,Medium,Canal,East India,2.9,High,Medium,Maize
19,57,41,28.7,55,6.2,497,Sandy,Sorghum,Zaid,High,Rainfed,West India,5.7,Medium,Medium,Green Gram
88,73,69,27.8,54,7.3,891,Red,Sunflower,Kharif,High,Canal,West India,2.6,High,Low,Cotton
68,53,69,25.4,52,6.9,783,Black,Sugarcane,Rabi,High,Sprinkler,East India,6.8,Low,Medium,Maize
34,90,21,32.0,59,6.7,682,Loamy,Chickpea,Kharif,High,Canal,South India,0.6,High,Medium,Groundnut
51,54,49,32.0,67,6.8,496,Loamy,Black Gram,Kharif,Medium,Rainfed,West India,3.9,High,High,Sorghum
64,44,54,31.1,41,7.6,432,Sandy,Cowpea,Kharif,Medium,Canal,South India,1.3,Low,Low,Sorghum
36,46,37,29.4,57,7.5,598,Alluvial,Sugarcane,Rabi,Low,Rainfed,West India,5.4,Medium,Medium,Sorghum
85,55,83,18.8,49,7.5,515,Alluvial,Brinjal,Rabi,Medium,Canal,East India,5.0,Low,Medium,Wheat
44,41,74,18.9,43,6.1,429,Black,Green Gram,Rabi,Low,Sprinkler,North-East India,5.7,Low,Medium,Onion
27,73,22,27.4,55,5.8,702,Alluvial,Chilli,Zaid,Medium,Drip,Central India,3.7,Low,Medium,Groundnut
85,63,55,31.8,76,6.0,1375,Alluvial,Rice,Kharif,High,Canal,North-East India,4.4,Low,High,Sugarcane
55,63,61,27.6,51,5.8,554,Sandy,Sunflower,Rabi,Medium,Sprinkler,North-East India,3.8,High,High,Brinjal
63,48,47,23.0,68,6.9,645,Red,Green Gram,Rabi,High,Sprinkler,West India,2.5,Low,High,Brinjal
56,84,72,28.3,63,7.3,614,Sandy,Wheat,Rabi,High,Rainfed,West India,5.0,High,High,Chilli
23,51,18,29.0,75,6.2,454,Alluvial,Maize,Kharif,Low,Canal,North-East India,6.4,Low,Medium,Black Gram
49,56,56,21.3,59,6.6,618,Clay,Black Gram,Zaid,High,Sprinkler,South India,4.3,Low,Medium,Tomato
46,70,59,27.5,49,6.3,369,Loamy,Sorghum,Rabi,Low,Rainfed,West India,2.9,High,Medium,Sunflower
38,46,33,31.2,60,6.4,503,Black,Chilli,Kharif,Low,Drip,North India,3.3,High,High,Black Gram
70,39,35,31.7,79,6.6,1248,Loamy,Groundnut,Kharif,Medium,Rainfed,South India,2.7,Medium,Medium,Rice
57,40,38,27.0,66,6.8,622,Clay,Sugarcane,Zaid,High,Rainfed,North-East India,1.3,Medium,High,Sesame
50,57,90,24.8,62,7.4,692,Sandy,Cowpea,Zaid,High,Canal,South India,1.3,Medium,Low,Chilli
34,64,38,29.5,53,5.5,685,Sandy,Maize,Kharif,Medium,Drip,North-East India,7.8,Low,Medium,Cowpea
43,89,58,24.0,55,6.1,661,Alluvial,Rice,Kharif,High,Sprinkler,East India,4.4,Medium,Low,Chilli
60,66,60,19.4,44,6.3,493,Sandy,Sugarcane,Rabi,High,Rainfed,East India,2.0,Medium,High,Onion
83,50,56,33.0,86,6.3,1105,Black,Brinjal,Rabi,Medium,Rainfed,West India,6.3,Low,Low,Sugarcane
85,60,35,27.7,88,6.0,1498,Red,Groundnut,Kharif,Medium,Rainfed,South India,3.9,Medium,Medium,Rice
49,44,59,28.2,52,7.0,759,Red,Sugarcane,Rabi,High,Canal,East India,6.0,Low,Medium,Brinjal
40,38,27,22.3,48,7.5,308,Loamy,Sorghum,Rabi,Low,Rainfed,North-East India,7.9,Low,Medium,Chickpea
42,80,66,21.2,53,6.8,516,Clay,Green Gram,Zaid,High,Sprinkler,North-East India,6.6,Low,Medium,Tomato
62,86,65,26.9,61,6.7,502,Alluvial,Sorghum,Kharif,High,Sprinkler,Central India,3.2,High,High,Chilli
91,57,83,24.1,55,5.9,727,Black,Chilli,Kharif,High,Drip,East India,3.8,Low,Medium,Maize
27,67,39,27.0,59,7.0,525,Alluvial,Green Gram,Kharif,High,Drip,North India,6.7,Low,Medium,Groundnut
31,45,20,32.1,59,7.4,698,Black,Sugarcane,Kharif,Low,Rainfed,South India,2.4,Low,Low,Cowpea
46,67,75,26.9,44,6.4,437,Sandy,Wheat,Rabi,Medium,Drip,West India,0.7,High,Low,Tomato
20,79,23,28.5,67,7.5,510,Clay,Cotton,Kharif,Medium,Drip,West India,5.8,Low,High,Groundnut
57,37,54,28.8,81,6.5,1081,Sandy,Green Gram,Kharif,Medium,Canal,West India,4.3,Medium,High,Sugarcane
58,64,69,26.1,44,6.5,444,Sandy,Cotton,Kharif,Medium,Drip,West India,6.2,Medium,High,Chilli
51,67,45,25.2,70,5.8,534,Loamy,Chickpea,Rabi,Medium,Sprinkler,West India,5.3,Low,Medium,Brinjal
59,54,67,27.5,66,6.9,807,Clay,Tomato,Kharif,High,Sprinkler,West India,1.6,High,Medium,Cotton
54,59,65,22.1,59,6.1,668,Red,Sunflower,Rabi,High,Drip,West India,1.9,High,High,Tomato
39,59,59,31.9,58,7.1,683,Red,Sunflower,Kharif,Low,Rainfed,West India,2.6,High,High,Sorghum
45,61,86,26.6,48,6.8,698,Red,Chickpea,Kharif,High,Rainfed,North-East India,4.4,High,Medium,Chilli
19,64,28,28.3,69,7.0,497,Black,Chilli,Kharif,High,Drip,North India,4.5,Low,Medium,Black Gram
59,52,50,31.1,65,6.1,630,Red,Cowpea,Kharif,Low,Canal,North India,3.3,Low,Medium,Sorghum
60,74,51,27.4,46,7.4,391,Black,Sugarcane,Zaid,Low,Rainfed,East India,7.7,Low,High,Sunflower
86,36,58,32.9,71,7.5,1396,Red,Chickpea,Rabi,High,Rainfed,North India,2.6,High,Low,Sugarcane
24,78,37,30.4,53,5.6,532,Alluvial,Cowpea,Kharif,Low,Drip,East India,1.1,High,Low,Groundnut
29,38,27,32.7,62,6.2,475,Alluvial,Chilli,Kharif,High,Drip,Central India,4.5,Medium,Medium,Cowpea
40,64,27,32.1,73,6.7,707,Loamy,Green Gram,Zaid,Medium,Rainfed,Central India,5.5,Medium,High,Groundnut
35,37,41,31.8,48,6.8,639,Alluvial,Groundnut,Zaid,Low,Drip,East India,1.5,Medium,High,Cowpea
58,38,57,28.6,45,7.6,526,Red,Groundnut,Kharif,High,Canal,West India,2.4,High,Medium,Sorghum
86,57,86,30.4,81,7.5,1036,Red,Black Gram,Kharif,Low,Rainfed,Central India,1.7,Low,High,Sugarcane
36,89,90,25.9,64,7.3,500,Black,Wheat,Rabi,Low,Sprinkler,North India,5.3,Medium,High,Chilli
63,36,36,25.9,55,6.2,563,Black,Sugarcane,Rabi,Low,Drip,South India,1.5,Medium,Low,Brinjal
85,37,92,27.9,74,6.4,822,Loamy,Sunflower,Rabi,High,Rainfed,East India,0.9,Medium,Low,Maize
34,38,41,33.0,65,5.8,519,Alluvial,Maize,Zaid,Low,Rainfed,North-East India,4.5,Low,Medium,Cowpea
45,62,43,26.1,66,6.7,417,Sandy,Sugarcane,Zaid,Medium,Drip,Central India,2.6,Low,High,Sunflower
42,61,36,27.7,65,6.3,597,Clay,Maize,Zaid,High,Drip,East India,1.3,High,High,Black Gram
60,35,54,29.9,42,7.2,340,Red,Chilli,Rabi,Low,Rainfed,North India,1.7,Low,Medium,Sorghum
19,73,33,31.9,59,5.5,711,Loamy,Cotton,Kharif,High,Canal,Central India,5.4,Low,Low,Groundnut
73,37,66,32.7,82,6.7,1362,Red,Cowpea,Kharif,High,Rainfed,West India,7.9,Low,Medium,Sugarcane
68,56,71,23.9,42,6.0,669,Loamy,Sunflower,Kharif,High,Sprinkler,North India,7.0,Low,Medium,Chilli
84,44,79,28.5,74,6.6,595,Black,Sesame,Rabi,Medium,Sprinkler,North India,3.3,Medium,Low,Maize
23,40,21,30.3,64,7.0,522,Black,Sugarcane,Kharif,High,Drip,North-East India,4.2,Low,High,Cowpea
75,50,53,29.1,78,5.6,1114,Red,Onion,Kharif,Low,Canal,East India,3.2,Low,Low,Rice
19,47,25,28.9,64,7.0,627,Sandy,Onion,Kharif,Low,Rainfed,North-East India,3.0,Medium,High,Cowpea
66,64,82,23.7,53,6.0,579,Black,Sesame,Zaid,High,Sprinkler,East India,1.8,High,Medium,Chilli
68,45,77,29.6,62,6.9,955,Red,Green Gram,Kharif,Low,Canal,North-East India,2.6,Low,Low,Sugarcane
58,63,78,29.0,75,6.2,544,Black,Chickpea,Kharif,Low,Sprinkler,North India,7.8,Low,High,Cotton
20,52,22,31.1,64,7.4,512,Loamy,Maize,Kharif,High,Rainfed,West India,4.6,High,Low,Green Gram
89,86,59,27.3,74,8.0,834,Black,Onion,Kharif,High,Rainfed,East India,2.9,High,Low,Cotton
47,46,61,31.1,52,5.6,493,Clay,Cotton,Kharif,Medium,Drip,West India,2.4,Medium,Medium,Sesame
28,43,35,20.7,53,6.5,584,Clay,Wheat,Rabi,Low,Drip,East India,1.8,Medium,Medium,Chickpea
56,65,51,27.4,53,8.0,309,Sandy,Tomato,Rabi,Low,Canal,Central India,1.4,Low,High,Sorghum
46,77,54,26.8,65,6.2,392,Clay,Green Gram,Zaid,Low,Sprinkler,East India,0.8,High,Medium,Sunflower
54,66,87,28.7,89,6.6,1354,Red,Green Gram,Rabi,Medium,Rainfed,East India,2.5,Low,Medium,Sugarcane
30,63,39,27.2,60,6.5,598,Black,Onion,Kharif,Low,Drip,North India,3.4,Low,Low,Green Gram
24,42,34,30.4,49,7.5,545,Red,Sesame,Kharif,Medium,Rainfed,West India,6.9,Low,High,Green Gram
21,58,35,30.7,72,6.5,660,Loamy,Wheat,Kharif,High,Canal,North-East India,4.5,Low,Low,Black Gram
36,61,60,24.6,55,6.6,676,Red,Sugarcane,Kharif,High,Canal,West India,2.9,Medium,Medium,Chilli
46,44,44,32.4,60,6.0,300,Red,Chilli,Rabi,Low,Canal,West India,4.0,Low,Low,Sorghum
62,56,69,32.3,85,7.4,925,Alluvial,Onion,Kharif,Low,Rainfed,Central India,6.0,Medium,Low,Sugarcane
87,51,77,16.2,43,6.3,661,Sandy,Sugarcane,Rabi,Medium,Drip,North-East India,3.7,Medium,Medium,Wheat
85,50,45,27.1,85,6.6,1280,Alluvial,Green Gram,Kharif,Medium,Rainfed,Central India,2.0,High,Medium,Rice
38,91,24,30.3,60,6.8,532,Sandy,Brinjal,Kharif,Low,Rainfed,East India,2.6,High,Medium,Groundnut
68,60,81,21.4,58,6.5,503,Red,Black Gram,Rabi,Low,Drip,North India,1.0,High,High,Tomato
35,71,41,27.6,59,6.0,548,Loamy,Rice,Kharif,Low,Drip,East India,5.1,Medium,High,Groundnut
38,45,42,29.1,63,7.4,693,Clay,Sugarcane,Kharif,High,Rainfed,Central India,4.8,Medium,Low,Black Gram
54,50,60,30.3,58,5.8,635,Sandy,Green Gram,Kharif,High,Drip,East India,4.0,Low,Medium,Sesame
18,65,41,31.9,64,7.3,520,Loamy,Sesame,Zaid,Medium,Canal,Central India,3.1,Low,Medium,Black Gram
40,67,82,24.8,54,7.0,645,Black,Rice,Rabi,High,Rainfed,North-East India,1.9,High,Medium,Chilli
27,74,21,28.5,57,5.5,599,Loamy,Cotton,Kharif,Low,Canal,North India,3.5,Medium,Low,Groundnut
89,52,85,32.2,72,6.4,1374,Clay,Sesame,Rabi,High,Canal,West India,6.1,Low,Medium,Sugarcane
44,80,61,26.9,63,7.3,585,Clay,Black Gram,Kharif,Medium,Canal,North-East India,6.7,Medium,Medium,Chilli
44,67,56,23.6,44,6.5,680,Alluvial,Cotton,Kharif,High,Canal,South India,6.0,Low,High,Chilli
37,52,57,24.1,60,6.8,422,Sandy,Cotton,Rabi,Low,Drip,East India,1.1,Medium,High,Tomato
69,43,83,19.9,47,6.6,514,Red,Chilli,Rabi,High,Drip,South India,6.7,Low,High,Wheat
68,60,66,29.2,73,7.0,1442,Alluvial,Brinjal,Kharif,High,Canal,Central India,5.7,Medium,Low,Sugarcane
66,60,82,24.2,43,6.2,516,Clay,Chickpea,Kharif,High,Canal,West India,6.2,Low,Low,Chilli
30,64,21,32.2,64,6.6,477,Sandy,Sunflower,Kharif,High,Drip,North-East India,4.2,Low,Low,Black Gram
26,68,26,28.6,69,6.2,617,Sandy,Maize,Kharif,High,Drip,South India,3.5,High,Medium,Groundnut
46,66,37,24.0,59,5.6,754,Loamy,Green Gram,Zaid,High,Sprinkler,West India,3.2,High,High,Brinjal
42,41,33,22.3,44,6.2,329,Sandy,Rice,Rabi,Low,Drip,South India,2.0,High,Low,Chickpea
66,38,81,29.1,76,6.5,1371,Alluvial,Black Gram,Kharif,High,Canal,West India,2.4,Medium,High,Sugarcane
53,91,47,28.1,63,6.9,552,Black,Rice,Rabi,Medium,Sprinkler,North-East India,3.1,Low,High,Sunflower
78,36,92,31.4,69,7.4,1295,Sandy,Chilli,Rabi,High,Canal,North India,2.9,Medium,Low,Sugarcane
37,40,40,33.0,61,7.1,620,Black,Onion,Kharif,Low,Drip,East India,2.6,Low,Medium,Cowpea
91,53,91,31.9,65,6.3,1479,Sandy,Tomato,Kharif,Medium,Canal,Central India,1.7,Low,High,Sugarcane
26,68,33,27.9,73,7.3,492,Red,Black Gram,Kharif,Medium,Drip,West India,5.2,Low,Low,Groundnut
46,58,86,25.1,52,6.2,525,Sandy,Rice,Rabi,Medium,Drip,Central India,5.3,Medium,High,Tomato
44,92,55,24.0,43,6.7,473,Black,Rice,Rabi,High,Sprinkler,East India,2.8,Medium,Low,Tomato
18,63,37,27.0,51,6.8,514,Red,Onion,Kharif,Low,Drip,Central India,2.3,Medium,Medium,Cowpea
22,56,39,27.1,69,7.2,705,Black,Sorghum,Kharif,High,Canal,East India,4.1,Medium,Low,Black Gram
63,57,53,28.6,67,5.9,669,Red,Groundnut,Zaid,Medium,Canal,North-East India,6.3,Low,High,Brinjal
49,58,38,23.7,58,6.3,565,Red,Green Gram,Rabi,High,Rainfed,East India,4.2,High,Medium,Sunflower
30,52,32,27.1,69,6.8,538,Black,Chilli,Kharif,High,Canal,North India,5.6,Medium,High,Green Gram
68,51,80,25.2,70,6.3,725,Loamy,Green Gram,Rabi,Medium,Sprinkler,East India,3.2,Medium,Low,Maize
91,53,89,31.5,76,6.3,979,Sandy,Black Gram,Rabi,Low,Rainfed,North-East India,2.8,Low,Medium,Sugarcane
60,50,65,28.1,64,7.0,498,Sandy,Tomato,Kharif,High,Rainfed,South India,5.5,Low,Low,Sesame
41,54,35,29.9,56,6.9,431,Alluvial,Tomato,Zaid,Low,Drip,East India,2.7,Low,Medium,Black Gram
79,58,78,28.5,79,6.1,1388,Sandy,Groundnut,Rabi,High,Canal,East India,4.6,Medium,Medium,Sugarcane
38,89,91,26.8,42,6.8,446,Alluvial,Groundnut,Kharif,Low,Drip,West India,3.7,Medium,Medium,Chilli
45,58,58,30.3,62,7.2,598,Clay,Tomato,Kharif,Low,Rainfed,Central India,4.7,Low,Low,Sesame
31,62,31,28.2,66,6.9,748,Black,Green Gram,Kharif,High,Drip,North-East India,1.0,Low,Medium,Groundnut
40,41,23,19.5,30,6.3,364,Sandy,Maize,Rabi,Low,Drip,West India,2.7,Low,Medium,Chickpea
63,56,48,27.1,70,6.7,426,Loamy,Rice,Zaid,Medium,Sprinkler,East India,4.5,Medium,Medium,Sunflower
42,66,52,30.1,68,6.1,399,Red,Sugarcane,Kharif,Medium,Rainfed,North-East India,3.3,High,Low,Sesame
65,52,63,19.7,41,6.1,420,Red,Tomato,Rabi,Medium,Canal,West India,2.5,Low,Medium,Wheat
27,66,34,30.9,61,6.9,525,Sandy,Rice,Kharif,High,Drip,Central India,2.4,High,Medium,Green Gram
44,53,66,28.4,54,6.8,505,Clay,Black Gram,Rabi,Low,Sprinkler,East India,1.3,Medium,High,Brinjal
41,62,57,32.2,59,7.0,473,Alluvial,Sugarcane,Rabi,Low,Canal,North India,4.6,Low,Low,Sorghum
50,48,47,32.7,63,6.3,475,Loamy,Black Gram,Kharif,Medium,Rainfed,North-East India,2.5,High,High,Sesame
43,42,82,18.5,53,6.7,379,Red,Chickpea,Rabi,Low,Rainfed,Central India,1.7,Low,Medium,Onion
33,37,21,20.0,39,7.2,436,Loamy,Chilli,Rabi,Medium,Rainfed,North India,2.4,Low,High,Chickpea
21,67,27,23.1,47,6.7,597,Loamy,Groundnut,Rabi,Medium,Drip,East India,3.8,Medium,Medium,Chickpea
37,68,23,29.2,72,7.2,579,Red,Green Gram,Zaid,High,Drip,Central India,4.6,Medium,High,Groundnut
38,51,57,28.1,56,7.0,766,Red,Cowpea,Zaid,High,Sprinkler,Central India,1.1,High,Medium,Brinjal
37,68,68,28.0,63,6.4,673,Black,Green Gram,Zaid,High,Sprinkler,South India,5.6,Medium,High,Chilli
59,66,39,29.7,45,6.0,518,Alluvial,Chilli,Zaid,Medium,Rainfed,West India,2.4,Medium,Medium,Sesame
